Eng,Th
a,สระ
an,สระ
ability,ความสามารถ
about,เกี่ยวกับ
abroad,ในต่างประเทศ
absolutely,อย่างแน่นอน
accept,ยอมรับ
access,เข้าไป
accommodation,ที่พัก
according to,ตาม
accurate,ถูกต้อง
achieve,บรรลุ
acknowledge,รับทราบ
across,ข้าม
action,หนังบู๊
activity,กิจกรรม
actress,นักแสดงหญิง
actually,แท้จริง
adapt,ปรับ
addition,ส่วนที่เพิ่มเข้าไป
address,ที่อยู่
admire,ชื่นชม
adopt,นำมาใช้
Advance,แอ็ดวานซ์
Advantage,ความได้เปรียบ
Advertise,โฆษณา
Advertising,การโฆษณา
affair,เรื่อง
afford,จ่าย
after,หลังจาก
afterwards,ภายหลัง
against,ต่อต้าน
aged,มีอายุ
agenda,ระเบียบวาระการประชุม
aggressive,ก้าวร้าว
agree,ตกลง
ah,อา
aid,ช่วยเหลือ
air,อากาศ
airline,สายการบิน
alarm,สัญญาณเตือนภัย
alcohol,แอลกอฮอล์
alive,มีชีวิตอยู่
all right,ถูกต้อง
almost,เกือบจะ
along,ตาม
also,ด้วย
alternative,ทางเลือก
always,เสมอ
amazing,น่าอัศจรรย์
ambitious,ทะเยอทะยาน
amount,จำนวน
analysis,การวิเคราะห์
and,และ
angle,มุม
animal,สัตว์
anniversary,วันครบรอบ
announcement,การประกาศ
annoyed,รำคาญ
annual,ประจำปี
answer,ตอบ
any,ใด
any more,ใด ๆ เพิ่มเติม
anything,สิ่งใด
anywhere,ทุกแห่ง
apartment,อพาร์ทเม้น
app,แอป
apparently,เด่นชัด
appear,ปรากฏ
apple,แอปเปิ้ล
apply,ใช้
appreciate,ซาบซึ้ง
appropriate,จัดสรร
approve,อนุมัติ
April,เมษายน
architecture,สถาปัตยกรรม
argue,เถียง
arise,เกิดขึ้น
armed,อาวุธ
army,กองทัพบก
arrange,เตรียมการ
arrest,จับกุม
arrive,มาถึง
article,บทความ
artist,ศิลปิน
as,เช่น
asleep,นอนหลับ
aspect,แง่มุม
assessment,การประเมินผล
assist,ช่วยเหลือ
associate,ที่เกี่ยวข้อง
association,สมาคม
at,ที่
atmosphere,บรรยากาศ
attack,โจมตี
attend,เข้าร่วม
attitude,ท่าที
attraction,เสน่ห์
audience,ผู้ชม
aunt,ป้า
authority,อำนาจ
available,ใช้ได้
avoid,หลีกเลี่ยงการ
aware,ทราบ
awful,น่ากลัว
back,กลับ
backwards,ย้อนกลับ
bad,ไม่ดี
bag,ถุง
balance,สมดุล
ban,ห้าม
band,วงดนตรี
bank (river),ธนาคาร (แม่น้ำ)
barrier,อุปสรรค
baseball,กีฬาเบสบอล
basketball,บาสเกตบอล
basically,เป็นพื้น
bath,การอาบน้ำ
battery,แบตเตอรี่
be,เป็น
bean,ถั่ว
bear (animal),หมี (สัตว์)
beautiful,สวย
because,เพราะ
bed,เตียง
bee,ผึ้ง
beer,เบียร์
beg,ขอ
beginning,จุดเริ่มต้น
behaviour,พฤติกรรม
being,ความเป็นอยู่
believe,เชื่อ
belong,เป็นของ
belt,เข็มขัด
benefit,ประโยชน์
best,ดีที่สุด
better,ดีกว่า
beyond,เกิน
big,ใหญ่
bill,บิล
bin,ถัง
bird,นก
birthday,วันเกิด
bit,นิดหน่อย
bitter,ขม
blame,ตำหนิ
blind,ตาบอด
blog,บล็อก
blood,เลือด
blue,สีน้ำเงิน
boat,เรือ
