Eng,Th,Romanized
the,,
ah,อา,a
instructor,อาจารย์ผู้สอน,achanphuson
profession,อาชีพ,achip
career,อาชีพ,achip
past,อดีต,adit
former,อดีต,adit
crowded,แออัด,ae-at
alcohol,แอลกอฮอล์,aelkoho
app,แอป,aep
apple,แอปเปิ้ล,aeppoen
Advance,แอ็ดวานซ์,aetwan
food,อาหาร,ahan
diet,อาหาร,ahan
feed,อาหาร,ahan
meal,อาหาร,ahan
breakfast,อาหารเช้า,ahanchao
lunch,อาหารกลางวัน,ahanklangwan
dinner,อาหารเย็น,ahanyen
shy,อาย,ai
ice cream,ไอศครีม,aitkhrim
symptom,อาการ,akan
headache,อาการปวดหัว,akanpuathua
air,อากาศ,akat
aircraft,อากาศยาน,akatyan
building,อาคาร,akhan
power,อำนาจ,amnat
authority,อำนาจ,amnat
district,อำเภอ,amphoe
read,อ่าน,an
future,อนาคต,anakhot
album,อัลบั้ม,anbam
cite,อ้างอิง,ang-ing
quote,อ้างอิง,ang-ing
refer,อ้างถึง,angthueng
danger,อันตราย,antrai
risk,อันตราย,antrai
harm,อันตราย,antrai
junior,อนุ,anu
approve,อนุมัติ,anumat
preserve,อนุรักษ์,anurak
conservative,อนุรักษนิยม,anuraksaniyom
licence,อนุญาต,anuyat
allow,อนุญาต,anuyat
take,เอา,ao
conclude,เอาเป็นว่า,aopenwa
apartment,อพาร์ทเม้น,aphatmen
debate,อภิปราย,aphiprai
discussion,อภิปรายผล,aphipraiphon
TRUE,TRUE,araaa
what,อะไร,arai
whatever,อะไรก็ตาม,araikotam
emotional,อารมณ์,arom
mood,อารมณ์,arom
emotion,อารมณ์,arom
humour,อารมณ์ขัน,aromkhan
upset,อารมณ์เสีย,aromsia
volunteer,อาสาสมัคร,asasamakkhon
probably,อาจ,at
possibly,อาจ,at
May,อาจ,at
maybe,อาจจะ,atcha
describe,อธิบาย,athibai
explain,อธิบาย,athibai
pray,อธิษฐาน,athitthan
may modal,อาจเป็นกิริยาช่วย,atpenkiriyachuai
might modal,อาจเป็นกิริยาช่วย,atpenkiriyachuai
crime,อาชญากรรม,atyakam
criminal,อาชญากร,atyakon
organ,อวัยวะ,awaiwa
armed,อาวุธ,awut
arms,อาวุธ,awut
weapon,อาวุธ,awut
age,อายุ,ayu
crazy,บ้า,ba
mad,บ้า,ba
bar,บาร์,ba
bacteria,แบคทีเรีย,baekthiria
flat,แบน,baen
model,แบบ,baep
traditional,แบบดั้งเดิม,baepdangdoem
form,แบบฟอร์ม,baepfom
pattern,แบบแผน,baepphaen
battery,แบตเตอรี่,baettoeri
bye,บาย,bai
permit,ใบอนุญาต,bai-ununat
leaf,ใบไม้,baimai
face,ใบหน้า,baina
application,ใบสมัคร,baisamakkhon
order,ใบสั่ง,baisang
receipt,ใบเสร็จรับเงิน,baisetrapngoen
house,บ้าน,ban
home,บ้าน,ban
account,บัญชีผู้ใช้,banchiphuchai
contain,บรรจุ,banchu
package,บรรจุภัณฑ์,banchuphan
stair,บันได,bandai
some,บาง,bang
somewhere,บางแห่ง,banghaeng
force,บังคับ,bangkhap
somebody,บางคน,bangkhon
someone,บางคน,bangkhon
sometimes,บางครั้ง,bangkhrang
something,บางสิ่งบางอย่าง,bangsingbangyang
perhaps,บางที,bangthi
achieve,บรรลุ,banlu
editor,บรรณาธิการ,bannathikan
save,บันทึก,banthuek
record,บันทึก,banthuek
note,บันทึก,banthuek
atmosphere,บรรยากาศ,banyakat
card,บัตร,bat
basketball,บาสเกตบอล,batketbon
wound,บาดแผล,batphaen
petrol,เบนซิน,bensin
beer,เบียร์,bia
fly,บิน,bin
bill,บิล,bin
blog,บล็อก,blok
block,บล็อก,blok
often,บ่อยครั้ง,boikhrang
tell,บอก,bok
complain,บ่น,bon
upper,บน,bon
on,บน,bon
imply,บ่งบอกถึง,bongbokthueng
ancient,โบราณ,boran
context,บริบท,boribot
donate,บริจาค,borichak
service,บริการ,borikan
serve,บริการ,borikan
waiter,บริกร,borikon
consume,บริโภค,boriphok
company,บริษัท,borisat
firm,บริษัท,borisat
pure,บริสุทธิ์,borisut
church,โบสถ์,bot
chapter,บท,bot
role,บทบาท,botbat
introduction,บทนำ,bothanam
poem,บทกวี,botkawi
poetry,บทกวี,botkawi
article,บทความ,botkhwam
lesson,บทเรียน,botrian
dialogue,บทสนทนา,botsonthana
frequently,บ่อยๆ,boyo
positive,บวก,buak
plus,บวก,buak
bored,เบื่อ,buea
staff,บุคลากร,buklakon
personality,บุคลิกภาพ,buklikphap
cigarette,บุหรี่,buri
tea,ชา,cha
slow,ช้า,cha
will,จะ,cha
slowly,ช้า,cha
edition,ฉบับ,chabap
frozen,แช่แข็ง,chaekhaeng
jacket,แจ็คเก็ต,chaekket
champion,แชมป์,chaem
inform,แจ้ง,chaeng
notice,แจ้งให้ทราบ,chaenghaisap
jazz,แจ๊ส,chaet
man,ชาย,chai
yeah,ใช่,chai
used,ใช้,chai
afford,จ่าย,chai
apply,ใช้,chai
yes,ใช่,chai
mind,ใจ,chai
male,ชาย,chai
use,ใช้,chai
spend,ใช้จ่าย,chaichai
victory,ชัยชนะ,chaichana
border,ชายแดน,chaidaen
available,ใช้ได้,chaidai
coast,ชายฝั่ง,chaifang
beach,ชายหาด,chaihat
generous,ใจกว้าง,chaikwang
impatient,ใจร้อน,chairon
from,จาก,chak
scene,ฉาก,chak
persuade,ชักชวน,chakchuan
universe,จักรวาล,chakkrawan
bike,จักรยาน,chakkrayan
label,ฉลาก,chalak
clever,ฉลาด,chalat
intelligent,ฉลาด,chalat
smart,ฉลาด,chalat
wise,ฉลาด,chalat
average,เฉลี่ย,chalia
gallery,เฉลียง,chaliang
celebrate,ฉลอง,chalong
recall,จำ,cham
remember,จำ,cham
limit,จำกัด,chamkat
number,จำนวน,chamnuan
amount,จำนวน,chamnuan
many,จำนวนมาก,chamnuanmak
lot,จำนวนมาก,chamnuanmak
necessary,จำเป็น,champen
vital,จำเป็น,champen
require,จำเป็นต้อง,champentong
settle,ชำระ,chamra
nose,จมูก,chamuk
level,ชั้น,chan
disc,จาน,chan
floor,ชั้น,chan
class,ชั้น,chan
layer,ชั้น,chan
plate,จาน,chan
dish,จาน,chan
win,ชนะ,chana
upstairs,ชั้นบน,chanbon
hire,จ้าง,chang
employ,จ้าง,chang
elephant,ช้าง,chang
weigh,ชั่งน้ำหนัก,changnamnak
photographer,ช่างภาพ,changphap
rhythm,จังหวะ,changwa
type,ชนิด,chanit
kind(type),ชนิด (ชนิด),chanit botchanit
kind(caring),ชนิด (ดูแล),chanit phadulae
until,จนกระทั่ง,chankrathang
leading,ชั้นนำ,channam
lord,เจ้า,chao
rent,เช่า,chao
prince,เจ้าชาย,chaochai
owner,เจ้าของ,chaokhong
farmer,ชาวนา,chaona
master,เจ้านาย,chaonai
