Eng,Th,Romanized
Advance,แอ็ดวานซ์,aetwan
Advanced,สูง,sung
Advantage,ความได้เปรียบ,khwamdaipriap
Adventure,การผจญภัย,kanphachonphai
Advertise,โฆษณา,khosana
Advertisement,การโฆษณา,kankhosana
Advertising,การโฆษณา,kankhosana
Advice,คำแนะนำ,khamnaenam
April,เมษายน,mesayon
August,สิงหาคม,singhakhom
CD,ซีดี,sidi
DVD,ดีวีดี,diwidi
December,ธันวาคม,thanwakhom
Dis Adverbantage,Dis Adverbantage,rai aaaaaaaaaaaaaaaaaaaaiiiii
FALSE,FALSE,yoraraa
February,กุมภาพันธ์,kumphaphan
Friday,วันศุกร์,wansuk
God,พระเจ้า,phrachao
I,ผม,phom
IT,มัน,man
January,มกราคม,mokrakhom
July,กรกฎาคม,korokdakhom
June,มิถุนายน,mithunayon
March,มีนาคม,minakhom
May,อาจ,at
Monday,วันจันทร์,wanchan
Noun,คำนาม,khamnam
November,พฤศจิกายน,phritchikain
OK,ตกลง,toklong
October,ตุลาคม,tulakhom
Saturday,วันเสาร์,wansao
September,กันยายน,kanyayon
Sunday,วันอาทิตย์,wan-athit
T-shirt,เสื้อยืดคอกลม,sueayuetkhoklom
TRUE,TRUE,araaa
TV,โทรทัศน์,thorathat
Thursday,วันพฤหัสบดี,wanphruehatbodi
Tuesday,วันอังคาร,wan-angkhan
Wednesday,วันพุธ,wanphut
a,สระ,sa
abandon,ละทิ้ง,lathing
ability,ความสามารถ,khwamsamat
able,สามารถ,samat
about,เกี่ยวกับ,kiaokap
above,ข้างบน,khangbon
abroad,ในต่างประเทศ,naitangprathet
absolute,แน่นอน,naenon
absolutely,อย่างแน่นอน,yangnaenon
academic,วิชาการ,wichakan
accept,ยอมรับ,yomrap
acceptable,ยอมรับได้,yomrapdai
access,เข้าไป,khaopai
accident,อุบัติเหตุ,ubathet
accommodation,ที่พัก,thiphak
accompany,มากับ,makap
according to,ตาม,tam
account,บัญชีผู้ใช้,banchiphuchai
accurate,ถูกต้อง,thuktong
accuse,กล่าวโทษ,klaothot
achieve,บรรลุ,banlu
achievement,ความสำเร็จ,khwamsamret
acknowledge,รับทราบ,rapsap
acquire,ซื้อ,sue
across,ข้าม,kham
act,ทำหน้าที่,thamnathi
action,หนังบู๊,nangbu
active,คล่องแคล่ว,khlongkhlaeo
activity,กิจกรรม,kitchakam
actor,นักแสดงชาย,naksadaengchai
actress,นักแสดงหญิง,naksadaengying
actual,ที่จริง,thiching
actually,แท้จริง,thaeching
ad,การโฆษณา,kankhosana
adapt,ปรับ,prap
add,เพิ่ม,phoem
addition,ส่วนที่เพิ่มเข้าไป,suanthiphoemkhaopai
additional,เพิ่มเติม,phoemtoem
address,ที่อยู่,thiyu
administration,การบริหาร,kanborihan
admire,ชื่นชม,chuenchom
admit,ยอมรับ,yomrap
adopt,นำมาใช้,nammachai
adult,ผู้ใหญ่,phuyai
affair,เรื่อง,rueang
affect,มีผลต่อ,miphonto
afford,จ่าย,chai
afraid,เกรงกลัว,krengklua
after,หลังจาก,langchak
afternoon,ตอนบ่าย,tonbai
afterwards,ภายหลัง,phailang
again,อีกครั้ง,ikkhrang
against,ต่อต้าน,totan
age,อายุ,ayu
aged,มีอายุ,mi-ayu
agency,หน่วยงาน,nuai-ngan
agenda,ระเบียบวาระการประชุม,rabiapwarakanprachum
agent,ตัวแทน,tuathaen
aggressive,ก้าวร้าว,kaorao
ago,มาแล้ว,malaeo
agree,ตกลง,toklong
agreement,ข้อตกลง,khotoklong
ah,อา,a
ahead,ล่วงหน้า,luangna
aid,ช่วยเหลือ,chuailuea
aim,จุดมุ่งหมาย,chutmungmai
air,อากาศ,akat
aircraft,อากาศยาน,akatyan
airline,สายการบิน,saikanbin
airport,สนามบิน,sanambin
alarm,สัญญาณเตือนภัย,sanyantueanphai
album,อัลบั้ม,anbam
alcohol,แอลกอฮอล์,aelkoho
alcoholic,มีส่วนผสมของแอลกอฮอล์,misuanphasomkhong-aekkaho
alive,มีชีวิตอยู่,michiwityu
all,ทั้งหมด,thangmot
all right,ถูกต้อง,thuktong
allow,อนุญาต,anuyat
almost,เกือบจะ,kueapcha
alone,คนเดียว,khondiao
along,ตาม,tam
already,แล้ว,laeo
also,ด้วย,duai
alter,แก้ไข,kaekhai
alternative,ทางเลือก,thanglueak
although,แม้ว่า,maeo
always,เสมอ,samoe
amazed,ประหลาดใจ,pralatchai
amazing,น่าอัศจรรย์,na-atchan
ambition,ความทะเยอทะยาน,khwamthayoethayan
ambitious,ทะเยอทะยาน,thayoethayan
among,ในหมู่,naimu
amount,จำนวน,chamnuan
an,สระ,sa
analyse,วิเคราะห์,wikhro
analysis,การวิเคราะห์,kanwikhro
ancient,โบราณ,boran
and,และ,lae
anger,ความโกรธ,khwamkrot
angle,มุม,mum
angry,โกรธ,krot
animal,สัตว์,sat
ankle,ข้อเท้า,khothao
anniversary,วันครบรอบ,wankhroprop
announce,ประกาศ,prakat
announcement,การประกาศ,kanprakat
annoy,รบกวน,ropkuan
